"Cisp";"Ano";"Mês";"Titulo";"Sexo";"Cor";"Idade";"Vítimas"
"7";"2023";"2";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
"7";"2023";"3";"Injúria por preconceito";"Feminino";"Parda";"60 anos ou mais";1
"7";"2023";"3";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"7";"2023";"6";"Injúria por preconceito";"Feminino";"Parda";"18 a 59 anos";1
"7";"2023";"10";"Injúria por preconceito";"Feminino";"Parda";"18 a 59 anos";1
"7";"2023";"10";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";3
"7";"2023";"10";"Injúria por preconceito";"Masculino";"Branca";"0 a 17 anos";1
"7";"2023";"11";"Preconceito de Raça ou de Cor";"Feminino";"Não informada";"Sem informação";1
"7";"2023";"11";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"18 a 59 anos";1
"7";"2023";"12";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"7";"2024";"2";"Preconceito de Raça ou de Cor";"Masculino";"Parda";"18 a 59 anos";1
"7";"2024";"2";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"18 a 59 anos";1
"7";"2024";"5";"Injúria por preconceito";"Feminino";"Branca";"18 a 59 anos";1
"9";"2022";"1";"Injúria por preconceito";"Masculino";"Negra";"60 anos ou mais";1
"9";"2022";"2";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";2
"9";"2022";"2";"Preconceito de Raça ou de Cor";"Feminino";"Parda";"18 a 59 anos";1
"9";"2022";"3";"Injúria por preconceito";"Feminino";"Branca";"60 anos ou mais";1
"9";"2022";"5";"Injúria por preconceito";"Feminino";"Parda";"18 a 59 anos";1
"9";"2022";"7";"Injúria por preconceito";"Feminino";"Parda";"18 a 59 anos";1
"9";"2022";"7";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
"9";"2022";"7";"Injúria por preconceito";"Não informado";"Não informada";"Sem informação";1
"9";"2022";"8";"Injúria por preconceito";"Masculino";"Branca";"0 a 17 anos";1
"9";"2022";"8";"Injúria por preconceito";"Masculino";"Não informada";"18 a 59 anos";1
"9";"2022";"8";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"0 a 17 anos";1
"9";"2022";"9";"Injúria por preconceito";"Feminino";"Parda";"18 a 59 anos";2
"9";"2022";"9";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"9";"2022";"9";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
"9";"2022";"10";"Injúria por preconceito";"Masculino";"Negra";"0 a 17 anos";1
"9";"2022";"10";"Preconceito de Raça ou de Cor";"Não informado";"Indígena";"18 a 59 anos";1
"9";"2022";"11";"Injúria por preconceito";"Feminino";"Branca";"18 a 59 anos";1
"9";"2022";"11";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";2
"9";"2022";"11";"Injúria por preconceito";"Masculino";"Branca";"0 a 17 anos";1
"9";"2022";"11";"Injúria por preconceito";"Masculino";"Branca";"18 a 59 anos";1
"9";"2022";"11";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";1
"9";"2022";"12";"Injúria por preconceito";"Feminino";"Parda";"18 a 59 anos";1
"9";"2022";"12";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"9";"2023";"1";"Injúria por preconceito";"Masculino";"Branca";"18 a 59 anos";1
"9";"2023";"1";"Injúria por preconceito";"Masculino";"Parda";"18 a 59 anos";1
"9";"2023";"1";"Preconceito de Raça ou de Cor";"Não informado";"Não informada";"Sem informação";1
"9";"2023";"2";"Injúria por preconceito";"Feminino";"Branca";"18 a 59 anos";1
"9";"2023";"3";"Injúria por preconceito";"Feminino";"Parda";"60 anos ou mais";1
"9";"2023";"3";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
"9";"2023";"3";"Preconceito de Raça ou de Cor";"Feminino";"Parda";"18 a 59 anos";1
"9";"2023";"4";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";2
"9";"2023";"4";"Injúria por preconceito";"Masculino";"Parda";"18 a 59 anos";1
"9";"2023";"4";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
"9";"2023";"4";"Preconceito de Raça ou de Cor";"Masculino";"Parda";"18 a 59 anos";1
"9";"2023";"4";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"18 a 59 anos";1
"9";"2023";"5";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"9";"2023";"5";"Preconceito de Raça ou de Cor";"Masculino";"Branca";"18 a 59 anos";1
"9";"2023";"6";"Injúria por preconceito";"Feminino";"Parda";"18 a 59 anos";1
"9";"2023";"6";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
"9";"2023";"7";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"0 a 17 anos";1
"9";"2023";"8";"Preconceito de Raça ou de Cor";"Feminino";"Branca";"18 a 59 anos";1
"9";"2023";"8";"Preconceito de Raça ou de Cor";"Masculino";"Parda";"18 a 59 anos";1
"9";"2023";"9";"Injúria por preconceito";"Feminino";"Branca";"18 a 59 anos";1
"9";"2023";"9";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"9";"2023";"9";"Injúria por preconceito";"Masculino";"Parda";"18 a 59 anos";1
"9";"2023";"9";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
"9";"2023";"9";"Preconceito de Raça ou de Cor";"Feminino";"Branca";"18 a 59 anos";1
"9";"2023";"9";"Preconceito de Raça ou de Cor";"Não informado";"Não informada";"Sem informação";1
"9";"2023";"10";"Injúria por preconceito";"Masculino";"Branca";"18 a 59 anos";1
"9";"2023";"10";"Injúria por preconceito";"Masculino";"Parda";"18 a 59 anos";1
"9";"2023";"10";"Injúria por preconceito";"Não informado";"Não informada";"Sem informação";1
"9";"2023";"10";"Preconceito de Raça ou de Cor";"Feminino";"Parda";"18 a 59 anos";1
"9";"2023";"10";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"18 a 59 anos";1
"9";"2023";"11";"Injúria por preconceito";"Masculino";"Branca";"60 anos ou mais";1
"9";"2023";"11";"Preconceito de Raça ou de Cor";"Feminino";"Branca";"18 a 59 anos";2
"9";"2023";"11";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";1
"9";"2023";"11";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"0 a 17 anos";1
"9";"2023";"11";"Preconceito de Raça ou de Cor";"Não informado";"Não informada";"Sem informação";1
"9";"2023";"12";"Injúria por preconceito";"Feminino";"Branca";"0 a 17 anos";1
"9";"2023";"12";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"9";"2023";"12";"Preconceito de Raça ou de Cor";"Feminino";"Parda";"18 a 59 anos";1
"9";"2023";"12";"Preconceito de Raça ou de Cor";"Masculino";"Parda";"18 a 59 anos";1
"9";"2024";"1";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"9";"2024";"1";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
"9";"2024";"1";"Preconceito de Raça ou de Cor";"Masculino";"Branca";"18 a 59 anos";1
"9";"2024";"1";"Preconceito de Raça ou de Cor";"Masculino";"Parda";"18 a 59 anos";1
"9";"2024";"2";"Preconceito de Raça ou de Cor";"Feminino";"Parda";"18 a 59 anos";1
"9";"2024";"2";"Preconceito de Raça ou de Cor";"Masculino";"Branca";"18 a 59 anos";1
"9";"2024";"3";"Injúria por preconceito";"Masculino";"Branca";"60 anos ou mais";1
"9";"2024";"3";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
"9";"2024";"3";"Preconceito de Raça ou de Cor";"Feminino";"Parda";"0 a 17 anos";1
"9";"2024";"3";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"Sem informação";1
"9";"2024";"3";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"18 a 59 anos";1
"9";"2024";"3";"Preconceito de Raça ou de Cor";"Masculino";"Não informada";"18 a 59 anos";1
"9";"2024";"4";"Injúria por preconceito";"Masculino";"Branca";"60 anos ou mais";1
"9";"2024";"4";"Injúria por preconceito";"Masculino";"Parda";"60 anos ou mais";1
"9";"2024";"4";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";1
"9";"2024";"5";"Injúria por preconceito";"Masculino";"Branca";"18 a 59 anos";1
"9";"2024";"5";"Injúria por preconceito";"Masculino";"Branca";"60 anos ou mais";1
"9";"2024";"5";"Injúria por preconceito";"Masculino";"Parda";"18 a 59 anos";1
"9";"2024";"6";"Injúria por preconceito";"Feminino";"Branca";"60 anos ou mais";1
"9";"2024";"6";"Injúria por preconceito";"Masculino";"Branca";"18 a 59 anos";1
"9";"2024";"6";"Preconceito de Raça ou de Cor";"Feminino";"Branca";"18 a 59 anos";1
"10";"2022";"1";"Injúria por preconceito";"Feminino";"Parda";"18 a 59 anos";1
"10";"2022";"1";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";2
"10";"2022";"1";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";1
"10";"2022";"2";"Injúria por preconceito";"Feminino";"Parda";"60 anos ou mais";1
"10";"2022";"2";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";1
"10";"2022";"3";"Injúria por preconceito";"Masculino";"Parda";"18 a 59 anos";4
"10";"2022";"3";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
"10";"2022";"4";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
"10";"2022";"4";"Preconceito de Raça ou de Cor";"Não informado";"Não informada";"Sem informação";1
"10";"2022";"5";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"10";"2022";"5";"Injúria por preconceito";"Masculino";"Parda";"18 a 59 anos";1
"10";"2022";"5";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";1
"10";"2022";"5";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"18 a 59 anos";1
"10";"2022";"6";"Injúria por preconceito";"Feminino";"Branca";"18 a 59 anos";1
"10";"2022";"6";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"10";"2022";"6";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";1
"10";"2022";"6";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"18 a 59 anos";2
"10";"2022";"7";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"10";"2022";"7";"Injúria por preconceito";"Masculino";"Branca";"18 a 59 anos";2
"10";"2022";"8";"Injúria por preconceito";"Feminino";"Parda";"18 a 59 anos";1
"10";"2022";"8";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";2
"10";"2022";"8";"Injúria por preconceito";"Masculino";"Branca";"18 a 59 anos";1
"10";"2022";"8";"Injúria por preconceito";"Masculino";"Negra";"0 a 17 anos";1
"10";"2022";"9";"Injúria por preconceito";"Feminino";"Branca";"18 a 59 anos";1
"10";"2022";"9";"Injúria por preconceito";"Feminino";"Negra";"0 a 17 anos";1
"10";"2022";"9";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"10";"2022";"9";"Injúria por preconceito";"Masculino";"Negra";"0 a 17 anos";1
"10";"2022";"9";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"0 a 17 anos";1
"10";"2022";"10";"Injúria por preconceito";"Feminino";"Branca";"60 anos ou mais";1
"10";"2022";"10";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";3
"10";"2022";"10";"Injúria por preconceito";"Masculino";"Branca";"18 a 59 anos";1
"10";"2022";"10";"Injúria por preconceito";"Masculino";"Parda";"18 a 59 anos";1
"10";"2022";"10";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";2
"10";"2022";"10";"Preconceito de Raça ou de Cor";"Feminino";"Branca";"18 a 59 anos";1
"10";"2022";"10";"Preconceito de Raça ou de Cor";"Masculino";"Parda";"Sem informação";1
"10";"2022";"10";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"0 a 17 anos";1
"10";"2022";"11";"Injúria por preconceito";"Feminino";"Branca";"18 a 59 anos";2
"10";"2022";"11";"Injúria por preconceito";"Masculino";"Branca";"18 a 59 anos";1
"10";"2022";"11";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"18 a 59 anos";1
"10";"2022";"12";"Injúria por preconceito";"Feminino";"Branca";"18 a 59 anos";2
"10";"2022";"12";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"10";"2022";"12";"Injúria por preconceito";"Masculino";"Branca";"18 a 59 anos";2
"10";"2022";"12";"Injúria por preconceito";"Masculino";"Parda";"18 a 59 anos";2
"10";"2022";"12";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"18 a 59 anos";1
"10";"2023";"1";"Injúria por preconceito";"Feminino";"Parda";"18 a 59 anos";1
"10";"2023";"1";"Preconceito de Raça ou de Cor";"Feminino";"Parda";"0 a 17 anos";1
"10";"2023";"1";"Preconceito de Raça ou de Cor";"Masculino";"Branca";"18 a 59 anos";1
"10";"2023";"2";"Injúria por preconceito";"Feminino";"Branca";"18 a 59 anos";1
"10";"2023";"2";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"10";"2023";"2";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
"10";"2023";"2";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";1
"10";"2023";"2";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"18 a 59 anos";1
"10";"2023";"3";"Injúria por preconceito";"Feminino";"Negra";"60 anos ou mais";1
"10";"2023";"3";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";2
"10";"2023";"3";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"18 a 59 anos";1
"10";"2023";"4";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"10";"2023";"4";"Injúria por preconceito";"Masculino";"Parda";"18 a 59 anos";1
"10";"2023";"4";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";1
"10";"2023";"4";"Preconceito de Raça ou de Cor";"Masculino";"Branca";"18 a 59 anos";1
"10";"2023";"4";"Preconceito de Raça ou de Cor";"Não informado";"Não informada";"Sem informação";1
"10";"2023";"5";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"10";"2023";"5";"Injúria por preconceito";"Masculino";"Parda";"18 a 59 anos";1
"10";"2023";"6";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"0 a 17 anos";1
"10";"2023";"6";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";1
"10";"2023";"6";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"0 a 17 anos";1
"10";"2023";"6";"Preconceito de Raça ou de Cor";"Não informado";"Não informada";"Sem informação";1
"10";"2023";"7";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"10";"2023";"8";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"10";"2023";"8";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";1
"10";"2023";"8";"Preconceito de Raça ou de Cor";"Masculino";"Branca";"18 a 59 anos";3
"10";"2023";"8";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"18 a 59 anos";1
"10";"2023";"8";"Preconceito de Raça ou de Cor";"Não informado";"Não informada";"Sem informação";1
"10";"2023";"9";"Injúria por preconceito";"Feminino";"Branca";"18 a 59 anos";1
"10";"2023";"9";"Injúria por preconceito";"Feminino";"Parda";"18 a 59 anos";1
"10";"2023";"9";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";3
"10";"2023";"10";"Injúria por preconceito";"Masculino";"Parda";"0 a 17 anos";1
"10";"2023";"10";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";1
"10";"2023";"10";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"18 a 59 anos";1
"10";"2023";"11";"Injúria por preconceito";"Masculino";"Amarela";"18 a 59 anos";1
"10";"2023";"11";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";1
"10";"2023";"11";"Preconceito de Raça ou de Cor";"Masculino";"Parda";"0 a 17 anos";1
"10";"2023";"11";"Preconceito de Raça ou de Cor";"Masculino";"Parda";"18 a 59 anos";1
"10";"2023";"12";"Injúria por preconceito";"Feminino";"Branca";"60 anos ou mais";1
"10";"2023";"12";"Injúria por preconceito";"Feminino";"Parda";"18 a 59 anos";2
"10";"2023";"12";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";1
"10";"2023";"12";"Preconceito de Raça ou de Cor";"Masculino";"Parda";"18 a 59 anos";1
"10";"2023";"12";"Preconceito de Raça ou de Cor";"Não informado";"Não informada";"Sem informação";3
"10";"2024";"1";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"10";"2024";"1";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
"10";"2024";"1";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"60 anos ou mais";1
"10";"2024";"2";"Injúria por preconceito";"Feminino";"Branca";"60 anos ou mais";1
"10";"2024";"2";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"10";"2024";"2";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"18 a 59 anos";1
"10";"2024";"2";"Preconceito de Raça ou de Cor";"Não informado";"Não informada";"Sem informação";1
"10";"2024";"3";"Injúria por preconceito";"Masculino";"Parda";"18 a 59 anos";1
"10";"2024";"3";"Preconceito de Raça ou de Cor";"Feminino";"Branca";"18 a 59 anos";1
"10";"2024";"3";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"60 anos ou mais";1
"10";"2024";"3";"Preconceito de Raça ou de Cor";"Masculino";"Parda";"18 a 59 anos";1
"10";"2024";"3";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"18 a 59 anos";1
"10";"2024";"3";"Preconceito de Raça ou de Cor";"Não informado";"Não informada";"Sem informação";1
"10";"2024";"4";"Preconceito de Raça ou de Cor";"Feminino";"Parda";"18 a 59 anos";1
"10";"2024";"4";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"18 a 59 anos";2
"10";"2024";"4";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"60 anos ou mais";3
"10";"2024";"5";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";2
"10";"2024";"5";"Injúria por preconceito";"Masculino";"Branca";"0 a 17 anos";1
"10";"2024";"5";"Injúria por preconceito";"Masculino";"Branca";"18 a 59 anos";1
"10";"2024";"5";"Injúria por preconceito";"Masculino";"Negra";"60 anos ou mais";1
"10";"2024";"5";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";2
"10";"2024";"5";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"18 a 59 anos";1
"10";"2024";"6";"Injúria por preconceito";"Masculino";"Branca";"18 a 59 anos";1
"10";"2024";"6";"Injúria por preconceito";"Masculino";"Parda";"60 anos ou mais";1
"10";"2024";"6";"Preconceito de Raça ou de Cor";"Masculino";"Negra";"18 a 59 anos";1
"10";"2024";"6";"Preconceito de Raça ou de Cor";"Não informado";"Não informada";"Sem informação";1
"11";"2022";"5";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"11";"2022";"6";"Injúria por preconceito";"Feminino";"Parda";"18 a 59 anos";1
"11";"2023";"1";"Injúria por preconceito";"Masculino";"Parda";"18 a 59 anos";1
"11";"2023";"2";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
"11";"2023";"6";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"11";"2023";"7";"Injúria por preconceito";"Feminino";"Parda";"18 a 59 anos";1
"11";"2023";"11";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"11";"2024";"1";"Injúria por preconceito";"Feminino";"Negra";"18 a 59 anos";1
"12";"2022";"2";"Injúria por preconceito";"Feminino";"Branca";"60 anos ou mais";1
"12";"2022";"2";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"18 a 59 anos";1
"12";"2022";"3";"Injúria por preconceito";"Masculino";"Branca";"18 a 59 anos";1
"12";"2022";"3";"Preconceito de Raça ou de Cor";"Masculino";"Parda";"18 a 59 anos";1
"12";"2022";"4";"Injúria por preconceito";"Feminino";"Branca";"0 a 17 anos";1
"12";"2022";"4";"Injúria por preconceito";"Feminino";"Parda";"18 a 59 anos";1
"12";"2022";"4";"Injúria por preconceito";"Masculino";"Branca";"18 a 59 anos";1
"12";"2022";"4";"Injúria por preconceito";"Masculino";"Negra";"18 a 59 anos";1
"12";"2022";"4";"Injúria por preconceito";"Não informado";"Não informada";"Sem informação";1
"12";"2022";"4";"Preconceito de Raça ou de Cor";"Feminino";"Negra";"60 anos ou mais";1
"12";"2022";"4";"Preconceito de Raça ou de Cor";"Masculino";"Parda";"18 a 59 anos";1
"12";"2022";"4";"Preconceito de Raça ou de Cor";"Não informado";"Não informada";"Sem informação";1
"12";"2022";"5";"Injúria por preconceito";"Feminino";"Branca";"18 a 59 anos";3
"12";"2022";"5";"Injúria por preconceito";"Masculino";"Branca";"60 anos ou mais";1
"12";"2022";"5";"Injúria por preconceito";"Não informado";"Não informada";"Sem informação";2
"12";"2022";"6";"Injúria por preconceito";"Feminino";"Branca";"60 anos ou mais";1
